,Serial Number,Word,Frequency
3782,3782,carrying,71
3783,3783,improved,55
3784,3784,albany,11
3785,3785,surprise,51
3786,3786,sensation,14
3787,3787,defensive,17
3788,3788,hitters,4
3789,3789,engage,14
3790,3790,workout,6
3791,3791,prior,47
3792,3792,skinny,9
3793,3793,brown,176
3794,3794,hoyt,4
3795,3795,wilhelm,4
3796,3796,specialists,19
3797,3797,champions,10
3798,3798,sheldon,8
3799,3799,roland,4
3800,3800,posted,11
3801,3801,n.y.,13
3802,3802,farm,124
3803,3803,walker,17
3804,3804,art,208
3805,3805,sunday's,6
3806,3806,casey,23
3807,3807,stengel,6
3808,3808,yankee,18
3809,3809,petersburg,5
3810,3810,dimaggio,6
3811,3811,crowds,12
3812,3812,games,55
3813,3813,famed,5
3814,3814,assisting,7
3815,3815,coach,24
3816,3816,pitcher,21
3817,3817,completing,13
3818,3818,hitch,5
3819,3819,accelerated,13
3820,3820,enlisted,11
3821,3821,bulky,9
3822,3822,richards,10
3823,3823,coaches,5
3824,3824,streamlined,4
3825,3825,workable,9
3826,3826,bird,31
3827,3827,bat,18
3828,3828,celebrate,4
3829,3829,pretty,107
3830,3830,unfortunately,33
3831,3831,expired,5
3832,3832,pitching,16
3833,3833,arrived,62
3834,3834,nightfall,4
3835,3835,dunn,6
3836,3836,flight,46
3837,3837,delayed,25
3838,3838,boarding,5
3839,3839,ramp,6
3840,3840,inflicted,4
3841,3841,damage,33
3842,3842,wing,18
3843,3843,plane,114
3844,3844,clint,4
3845,3845,catching,9
3846,3846,league's,4
3847,3847,tokyo,18
3848,3848,we'd,32
3849,3849,someplace,6
3850,3850,md.,5
3851,3851,fresh,82
3852,3852,filly,9
3853,3853,downed,5
3854,3854,promising,24
3855,3855,colts,8
3856,3856,purse,14
3857,3857,seventh,31
3858,3858,stages,51
3859,3859,jockey,5
3860,3860,races,21
3861,3861,substantial,66
3862,3862,lead,129
3863,3863,tired,48
3864,3864,nearing,12
3865,3865,wire,42
3866,3866,save,62
3867,3867,glen,7
3868,3868,bright,87
3869,3869,sun,112
3870,3870,brisk,7
3871,3871,condition,91
3872,3872,apprentice,15
3873,3873,suspended,30
3874,3874,ten,164
3875,3875,crowding,5
3876,3876,horses,68
3877,3877,crossing,21
3878,3878,gets,66
3879,3879,mating,8
3880,3880,self,39
3881,3881,rosy,8
3882,3882,allowance,16
3883,3883,"$10,000",9
3884,3884,claiming,16
3885,3885,cleveland,17
3886,3886,kerr,5
3887,3887,knights,8
3888,3888,columbus,14
3889,3889,dave,31
3890,3890,mills,32
3891,3891,duel,5
3892,3892,wiped,19
3893,3893,king,88
3894,3894,yards,64
3895,3895,thirds,4
3896,3896,turn,233
3897,3897,timed,9
3898,3898,indoor,4
3899,3899,season,105
3900,3900,thrill,5
3901,3901,slender,19
3902,3902,woman,224
3903,3903,broke,72
3904,3904,half-mile,7
3905,3905,grace,40
3906,3906,butcher,8
3907,3907,nearby,45
3908,3908,housewife,4
3909,3909,finished,87
3910,3910,snapped,19
3911,3911,helen,13
3912,3912,ohio,38
3913,3913,francisco,41
3914,3914,bobby,23
3915,3915,ga.,5
3916,3916,relief,66
3917,3917,quarterback,5
3918,3918,undergo,8
3919,3919,knee,35
3920,3920,franklin,30
3921,3921,swelling,11
3922,3922,consult,11
3923,3923,physician,15
3924,3924,tony,11
3925,3925,eleventh,4
3926,3926,donated,7
3927,3927,chicago,98
3928,3928,sox,13
3929,3929,halfback,10
3930,3930,plays,66
3931,3931,moritz,11
3932,3932,southwest,16
3933,3933,clock,20
3934,3934,kick,15
3935,3935,nose,60
3936,3936,hip,10
3937,3937,pads,5
3938,3938,longhorn,4
3939,3939,favored,18
3940,3940,cotton,38
3941,3941,bowl,23
3942,3942,that's,187
3943,3943,kicked,18
3944,3944,14,56
3945,3945,tries,13
3946,3946,string,19
3947,3947,conversions,6
3948,3948,slaughter,10
3949,3949,1956,28
3950,3950,stamford,4
3951,3951,bothered,14
3952,3952,muscle,42
3953,3953,thigh,9
3954,3954,kicking,12
3955,3955,leg,58
3956,3956,barely,31
3957,3957,playing,101
3958,3958,110,7
3959,3959,26,32
3960,3960,injury,27
3961,3961,missed,40
3962,3962,77,5
3963,3963,statistical,16
3964,3964,net,34
3965,3965,1957,48
3966,3966,timing,11
3967,3967,there's,109
3968,3968,i've,125
3969,3969,boys,143
3970,3970,seem,229
3971,3971,practice,94
3972,3972,helps,31
3973,3973,golf,34
3974,3974,swing,24
3975,3975,kinda,5
3976,3976,longhorns,5
3977,3977,scored,15
3978,3978,completions,7
3979,3979,56,6
3980,3980,attempts,38
3981,3981,37,7
3982,3982,rushing,10
3983,3983,brilliant,50
3984,3984,sophomore,5
3985,3985,55,9
3986,3986,gained,39
3987,3987,touchdown,6
3988,3988,insists,10
3989,3989,he'll,30
3990,3990,prevailed,7
3991,3991,smu,5
3992,3992,coaching,6
3993,3993,week's,8
3994,3994,rice,33
3995,3995,happy,98
3996,3996,meek,10
3997,3997,academy,24
3998,3998,kids,32
3999,3999,stayed,75
4000,4000,we've,34
4001,4001,particular,179
4002,4002,gratification,4
4003,4003,performances,33
4004,4004,nelson,16
4005,4005,billy,26
4006,4006,gannon,4
4007,4007,magnificent,27
4008,4008,interference,45
4009,4009,stops,8
4010,4010,nick,25
4011,4011,loose,53
4012,4012,contributed,39
4013,4013,aerial,8
4014,4014,thrusts,5
4015,4015,screen,48
4016,4016,incomplete,13
4017,4017,spotted,16
4018,4018,nailed,11
4019,4019,yard,35
4020,4020,game's,4
4021,4021,lay,139
4022,4022,waited,70
4023,4023,mike,91
4024,4024,kelsey,6
4025,4025,doubtful,22
4026,4026,blind,47
4027,4027,definitely,21
4028,4028,opener,6
4029,4029,maryland,23
4030,4030,lot,127
4031,4031,film,96
4032,4032,reserves,5
4033,4033,45,14
4034,4034,huddle,4
4035,4035,drill,33
4036,4036,tackle,10
4037,4037,undergoing,12
4038,4038,treatment,127
4039,4039,m,16
4040,4040,rain,70
4041,4041,mud,32
4042,4042,gene,9
4043,4043,ankle,8
4044,4044,shaken,11
4045,4045,tech,8
4046,4046,trinity,5
4047,4047,bud,9
4048,4048,denver,16
4049,4049,buffalo,16
4050,4050,hank,17
4051,4051,ramsey,10
4052,4052,collectors,7
4053,4053,productive,25
4054,4054,louisiana,30
4055,4055,upset,14
4056,4056,defending,13
4057,4057,luck,47
4058,4058,exclaimed,14
4059,4059,stram,4
4060,4060,splendid,20
4061,4061,whip,19
4062,4062,dangerous,46
4063,4063,star,25
4064,4064,interior,74
4065,4065,exceptionally,8
4066,4066,movies,31
4067,4067,throwing,17
4068,4068,passes,27
4069,4069,bang,7
4070,4070,strikes,20
4071,4071,tactic,4
4072,4072,controlling,23
4073,4073,giving,96
4074,4074,delivered,37
4075,4075,comforting,8
4076,4076,speedy,6
4077,4077,claimed,35
4078,4078,resulted,37
4079,4079,book,197
4080,4080,statistics,22
4081,4081,spree,4
4082,4082,280,4
4083,4083,tough,36
4084,4084,bulge,5
4085,4085,loop,21
4086,4086,leads,33
4087,4087,averages,10
4088,4088,idle,13
4089,4089,unofficial,5
4090,4090,checks,17
4091,4091,leagues,8
4092,4092,ordered,69
4093,4093,tests,61
4094,4094,pinpoint,5
4095,4095,bears,26
4096,4096,indianapolis,6
4097,4097,command,72
4098,4098,countless,14
4099,4099,louisville,6
4100,4100,pack,25
4101,4101,walked,159
4102,4102,charley,8
4103,4103,27,26
4104,4104,innings,4
4105,4105,unusual,63
4106,4106,characteristic,68
4107,4107,mcauliffe,4
4108,4108,cracked,17
4109,4109,don,23
4110,4110,jay,15
4111,4111,porter,17
4112,4112,bases,23
4113,4113,smash,4
4114,4114,phil,65
4115,4115,indians,32
4116,4116,bunched,5
4117,4117,chuck,14
4118,4118,tripled,4
4119,4119,cliff,11
4120,4120,dan,27
4121,4121,infield,7
4122,4122,accounted,5
4123,4123,clicked,8
4124,4124,spectacular,22
4125,4125,showed,141
4126,4126,arm,94
4127,4127,obvious,92
4128,4128,lights,47
4129,4129,flooded,9
4130,4130,dark,185
4131,4131,organ,12
4132,4132,exotic,7
4133,4133,dancer,31
4134,4134,o'clock,41
4135,4135,lane,30
4136,4136,mich.,4
4137,4137,world's,35
4138,4138,ranked,4
4139,4139,lightweight,5
4140,4140,rip,6
4141,4141,gardner's,4
4142,4142,diving,5
4143,4143,lemon,18
4144,4144,minnesota,13
4145,4145,twins,12
4146,4146,liner,4
4147,4147,fans,21
4148,4148,turk,5
4149,4149,tagged,6
4150,4150,ray,19
4151,4151,moore,24
4152,4152,reno,7
4153,4153,pop,7
4154,4154,fly,33
4155,4155,roy,37
4156,4156,sacrifice,30
4157,4157,bottom,88
4158,4158,walking,54
4159,4159,aboard,25
4160,4160,smith's,5
4161,4161,solid,77
4162,4162,utah,6
4163,4163,outfielder,4
4164,4164,jensen,4
4165,4165,baseball,57
4166,4166,reflexes,6
4167,4167,sudden,38
4168,4168,46,9
4169,4169,train,82
4170,4170,anybody,42
4171,4171,newsmen,4
4172,4172,trip,81
4173,4173,olympic,7
4174,4174,ann,29
4175,4175,awaited,7
4176,4176,heading,31
4177,4177,speculating,4
4178,4178,chances,24
4179,4179,pacific,31
4180,4180,sports,49
4181,4181,writer,73
4182,4182,ensign,4
4183,4183,ritchie,4
4184,4184,standard,110
4185,4185,examiner,14
4186,4186,compartment,11
4187,4187,conductor,25
4188,4188,mad,39
4189,4189,magazine,39
4190,4190,cold,171
4191,4191,warmed,10
4192,4192,liston,6
4193,4193,anything,280
4194,4194,traveler,8
4195,4195,quoted,26
4196,4196,anymore,5
4197,4197,suddenly,153
4198,4198,grip,20
4199,4199,masses,21
4200,4200,pops,12
4201,4201,tongues,4
4202,4202,spahn,5
4203,4203,masterpiece,10
4204,4204,giants,21
4205,4205,willie,11
4206,4206,mays,13
4207,4207,remarkable,47
4208,4208,pastime,4
4209,4209,cherished,16
4210,4210,achievements,19
4211,4211,elderly,13
4212,4212,hearts,23
4213,4213,guys,20
4214,4214,milestone,4
4215,4215,rookies,4
4216,4216,sighed,22
4217,4217,waved,16
4218,4218,surely,47
4219,4219,belonging,13
4220,4220,carl,41
4221,4221,herb,8
4222,4222,vernon,21
4223,4223,et,30
4224,4224,player's,7
4225,4225,player,51
4226,4226,meaningless,15
4227,4227,1951,20
4228,4228,guy,51
4229,4229,clubhouse,5
4230,4230,reaches,25
4231,4231,span,19
4232,4232,incidentally,14
4233,4233,hodges,14
4234,4234,trick,15
4235,4235,lou,13
4236,4236,gehrig,5
4237,4237,pat,35
4238,4238,rocky,10
4239,4239,willie's,4
4240,4240,revived,6
4241,4241,argument,63
4242,4242,merits,14
4243,4243,mickey,29
4244,4244,mantle,48
4245,4245,fan,18
4246,4246,ace,15
4247,4247,seasons,17
4248,4248,lifetime,10
4249,4249,forever,39
4250,4250,mystery,39
4251,4251,hitting,17
4252,4252,distressing,7
4253,4253,slump,8
4254,4254,tv,39
4255,4255,privileged,10
4256,4256,arrangement,34
4257,4257,blackout,5
4258,4258,televised,4
4259,4259,rulers,9
4260,4260,helpless,21
4261,4261,network,30
4262,4262,abide,7
4263,4263,nbc,6
4264,4264,afternoons,13
4265,4265,arise,28
4266,4266,irritable,5
4267,4267,harm,25
4268,4268,purposely,5
4269,4269,dissatisfaction,9
4270,4270,terminated,4
4271,4271,cincinnati,9
4272,4272,powerful,63
4273,4273,19th,8
4274,4274,crushing,7
4275,4275,reds,4
4276,4276,humiliating,4
4277,4277,barrage,5
4278,4278,loosely,12
4279,4279,finale,6
4280,4280,injuries,11
4281,4281,mounted,45
4282,4282,johnny,30
4283,4283,mantle's,6
4284,4284,replacement,21
4285,4285,smashed,15
4286,4286,yanks,4
4287,4287,applaud,5
4288,4288,bleachers,5
4289,4289,400,18
4290,4290,momentarily,5
4291,4291,trailing,7
4292,4292,wally,25
4293,4293,slashed,10
4294,4294,1924,9
4295,4295,eddie,30
4296,4296,cardinals,8
4297,4297,accomplished,44
4298,4298,feat,6
4299,4299,23,47
4300,4300,skorich,10
4301,4301,eagles,6
4302,4302,three-year,5
4303,4303,"$20,000",6
4304,4304,"$25,000",4
4305,4305,buck,20
4306,4306,shaw,9
4307,4307,retain,11
4308,4308,charlie,48
4309,4309,ends,67
4310,4310,selection,39
4311,4311,logical,34
4312,4312,van,32
4313,4313,permission,27
4314,4314,newest,15
4315,4315,entry,26
4316,4316,refused,60
4317,4317,reconsider,4
4318,4318,depended,9
4319,4319,advocate,15
4320,4320,balanced,22
4321,4321,sutherland,6
4322,4322,pittsburgh,25
4323,4323,quit,15
4324,4324,catholic,84
4325,4325,1949,20
4326,4326,ceremony,18
4327,4327,richardson,12
4328,4328,championship,8
4329,4329,silver,29
4330,4330,shaped,17
4331,4331,award,46
4332,4332,shea,10
4333,4333,awards,17
4334,4334,night's,13
4335,4335,chapter,73
4336,4336,writers',4
4337,4337,graham,15
4338,4338,columnist,5
4339,4339,pirates,12
4340,4340,ben,21
4341,4341,babe,8
4342,4342,ruth,23
4343,4343,outstanding,37
4344,4344,mercer,71
4345,4345,follows,77
4346,4346,writers,73
4347,4347,personalities,15
4348,4348,dance,90
4349,4349,song,70
4350,4350,prominent,40
4351,4351,background,67
4352,4352,bernard,9
4353,4353,relentlessly,5
4354,4354,departure,17
4355,4355,dodgers,5
4356,4356,california,65
4357,4357,barriers,17
4358,4358,convince,4
4359,4359,branch,33
4360,4360,formation,37
4361,4361,franchise,5
4362,4362,flushing,4
4363,4363,meadow,17
4364,4364,lease,10
4365,4365,ford,24
4366,4366,prominently,8
4367,4367,sands,10
4368,4368,i.,16
4369,4369,kathy,4
4370,4370,patricia,7
4371,4371,switching,7
4372,4372,owned,34
4373,4373,ted,7
4374,4374,roger,15
4375,4375,maris,36
4376,4376,winner,8
4377,4377,arnold,20
4378,4378,palmer,56
4379,4379,metropolitan,34
4380,4380,cup,45
4381,4381,matches,13
4382,4382,amateur,25
4383,4383,gardner,4
4384,4384,gold,52
4385,4385,tee,5
4386,4386,sponsorship,5
4387,4387,charity,8
4388,4388,tournaments,5
4389,4389,golfers,4
4390,4390,hogan,11
4391,4391,trophy,8
4392,4392,stuart,16
4393,4393,missouri,21
4394,4394,golden,42
4395,4395,blazing,6
4396,4396,masters,24
4397,4397,prize,28
4398,4398,sportsman,5
4399,4399,illustrated,37
4400,4400,athlete,9
4401,4401,belt,29
4402,4402,achieved,62
4403,4403,monstrous,13
4404,4404,human,299
4405,4405,brooding,15
4406,4406,abandonment,10
4407,4407,sport,17
4408,4408,frustrations,4
4409,4409,despair,21
4410,4410,perfection,11
4411,4411,commit,16
4412,4412,nor,195
4413,4413,motivated,9
4414,4414,respects,22
4415,4415,shooting,48
4416,4416,below,145
4417,4417,par,13
4418,4418,delivering,9
4419,4419,margin,10
4420,4420,narrow,63
4421,4421,fairway,5
4422,4422,majestic,10
4423,4423,arc,41
4424,4424,slice,13
4425,4425,sliced,4
4426,4426,bounds,10
4427,4427,shots,29
4428,4428,strokes,12
4429,4429,wound,28
4430,4430,dozen,52
4431,4431,nice,76
4432,4432,easily,107
4433,4433,heartening,4
4434,4434,fell,92
4435,4435,evil,72
4436,4436,idol,7
4437,4437,19,32
4438,4438,secondary,31
4439,4439,drank,19
4440,4440,lunch,33
4441,4441,gully,5
4442,4442,thirteen,11
4443,4443,ye,11
4444,4444,countin',5
4445,4445,echoes,8
4446,4446,palmer's,6
4447,4447,honestly,12
4448,4448,knows,99
4449,4449,code,39
4450,4450,thoroughly,40
4451,4451,handy,13
4452,4452,flowed,6
4453,4453,floated,7
4454,4454,downstream,5
4455,4455,picked,78
4456,4456,potato,15
4457,4457,lie,59
4458,4458,naturally,70
4459,4459,alongside,15
4460,4460,spot,57
4461,4461,confessed,7
4462,4462,grin,13
4463,4463,happened,149
4464,4464,intensity,56
4465,4465,inherent,26
4466,4466,humor,47
4467,4467,strain,31
4468,4468,nerves,22
4469,4469,strings,16
4470,4470,competitors,10
4471,4471,bull,14
4472,4472,twelfth,5
4473,4473,guarding,9
4474,4474,embankment,4
4475,4475,soft,61
4476,4476,rains,5
4477,4477,thereby,34
4478,4478,bringing,38
4479,4479,lies,44
4480,4480,provisional,7
4481,4481,embedded,4
4482,4482,fathers,19
4483,4483,stroke,19
4484,4484,tournament,20
4485,4485,creature,15
4486,4486,supply,102
4487,4487,minneapolis,9
4488,4488,fourteen,31
4489,4489,warwick,21
4490,4490,hall,152
4491,4491,fame,18
4492,4492,amendments,7
4493,4493,teams,22
4494,4494,therefore,205
4495,4495,dates,30
4496,4496,heed,8
4497,4497,slower,9
4498,4498,vinegar,9
4499,4499,bend,24
4500,4500,breaking,25
4501,4501,baseball's,4
4502,4502,hemus,5
4503,4503,switch,43
4504,4504,gibson,8
4505,4505,ernie,18
4506,4506,collapse,7
4507,4507,eager,27
4508,4508,assignment,62
4509,4509,larry,9
4510,4510,harvey,18
4511,4511,flu,8
4512,4512,cardinal,15
4513,4513,suffering,44
4514,4514,stiff,21
4515,4515,neck,81
4516,4516,pirate,4
4517,4517,danny,6
4518,4518,hadn't,99
4519,4519,lengthy,11
4520,4520,anniversary,21
4521,4521,sore,10
4522,4522,bucks,6
4523,4523,bats,6
4524,4524,recession,7
4525,4525,imposing,7
4526,4526,smoky,5
4527,4527,hal,28
4528,4528,dragging,15
4529,4529,sit,67
4530,4530,friend,133
4531,4531,beaten,15
4532,4532,isn't,97
4533,4533,jumped,35
4534,4534,ending,31
4535,4535,so-so,4
4536,4536,finishing,9
4537,4537,96,5
4538,4538,cards,36
4539,4539,club's,9
4540,4540,tumbled,13
4541,4541,recovering,4
4542,4542,runaway,6
4543,4543,worst,34
4544,4544,comparable,41
4545,4545,york's,7
4546,4546,dealt,22
4547,4547,words,274
4548,4548,benington,7
4549,4549,hartweger,5
4550,4550,nordmann,4
4551,4551,conversation,50
4552,4552,respect,125
4553,4553,other's,9
4554,4554,supposed,65
4555,4555,'em,41
4556,4556,trio,9
4557,4557,shared,40
4558,4558,honors,15
4559,4559,editor,77
4560,4560,commended,4
4561,4561,clutch,5
4562,4562,excellent,68
4563,4563,bradley,4
4564,4564,recalled,26
4565,4565,doubted,9
4566,4566,faults,7
4567,4567,admired,17
4568,4568,husband,131
4569,4569,thank,36
4570,4570,letting,31
4571,4571,shape,85
4572,4572,healed,6
4573,4573,inscription,6
4574,4574,contribution,37
4575,4575,compiled,10
4576,4576,invitation,20
4577,4577,notre,6
4578,4578,dame,7
4579,4579,overcome,26
4580,4580,anywhere,39
4581,4581,pitched,8
4582,4582,crystal,23
4583,4583,tie,23
4584,4584,trips,29
4585,4585,busy,58
4586,4586,quincy,4
4587,4587,contented,8
4588,4588,cows,16
4589,4589,milk,49
4590,4590,shouldn't,22
4591,4591,talents,28
4592,4592,harder,23
4593,4593,successfully,31
4594,4594,careers,14
4595,4595,expectations,23
4596,4596,meant,100
4597,4597,knock,15
4598,4598,agree,51
4599,4599,they've,16
4600,4600,heights,23
4601,4601,blond,11
4602,4602,sensational,6
4603,4603,52,4
4604,4604,130,5
4605,4605,slugger,4
4606,4606,terror,25
4607,4607,ultimate,59
4608,4608,51,4
4609,4609,happier,11
4610,4610,behaving,4
4611,4611,they're,65
4612,4612,peaks,8
4613,4613,professionals,10
4614,4614,spelled,6
4615,4615,correctly,13
4616,4616,fifteenth,9
4617,4617,differently,16
4618,4618,rare,41
4619,4619,possessing,6
4620,4620,enabled,12
4621,4621,reserving,4
4622,4622,resented,8
4623,4623,push,37
4624,4624,thrilling,4
4625,4625,possessive,4
4626,4626,inherited,16
4627,4627,class,207
4628,4628,c,121
4629,4629,body,276
4630,4630,beautiful,127
4631,4631,preached,8
4632,4632,kid,61
4633,4633,bubble,12
4634,4634,gum,14
4635,4635,oats,7
4636,4636,sights,15
4637,4637,broadway,24
4638,4638,quietly,49
4639,4639,bestowed,7
4640,4640,intended,45
4641,4641,continues,41
4642,4642,spread,83
4643,4643,thin,92
4644,4644,inviting,8
4645,4645,glamorous,5
4646,4646,ruth's,8
4647,4647,1927,19
4648,4648,alvin,6
4649,4649,wonderful,53
4650,4650,leo,7
4651,4651,taught,50
4652,4652,rushed,27
4653,4653,polo,4
4654,4654,romantic,32
4655,4655,concerns,43
4656,4656,joan,14
4657,4657,monroe,12
4658,4658,wendell,8
4659,4659,lake,54
4660,4660,brother,73
4661,4661,bride's,5
4662,4662,marriage,95
4663,4663,winter,83
4664,4664,holiday,17
4665,4665,occasion,58
4666,4666,arrive,24
4667,4667,christmas,27
4668,4668,holidays,12
4669,4669,peter,36
4670,4670,westminster,23
4671,4671,sister,38
4672,4672,baby,62
4673,4673,mother,216
4674,4674,bride,33
4675,4675,wedding,32
4676,4676,bulletins,4
4677,4677,cancer,25
4678,4678,foundation,38
4679,4679,opera,47
4680,4680,housed,12
4681,4681,mccormick,8
4682,4682,exciting,29
4683,4683,evening,133
4684,4684,adds,10
4685,4685,board's,5
4686,4686,publicity,27
4687,4687,recently,123
4688,4688,frederick,19
4689,4689,hamm,7
4690,4690,bruce,4
4691,4691,stevens,18
4692,4692,niece,8
4693,4693,aunts,4
4694,4694,lawn,15
4695,4695,tennis,15
4696,4696,buffet,6
4697,4697,supper,37
4698,4698,bus,34
4699,4699,loud,20
4700,4700,artistic,33
4701,4701,success,93
4702,4702,ringing,10
4703,4703,ears,38
4704,4704,geraghty,4
4705,4705,earn,16
4706,4706,acclaim,4
4707,4707,entertainment,29
4708,4708,summer's,7
4709,4709,embassies,7
4710,4710,bushes,10
4711,4711,oriental,16
4712,4712,talent,40
4713,4713,cultural,55
4714,4714,activities,115
4715,4715,instance,82
4716,4716,dancers,31
4717,4717,whirling,10
4718,4718,obstacle,10
4719,4719,smoothed,7
4720,4720,separated,43
4721,4721,egypt,14
4722,4722,visa,5
4723,4723,honolulu,6
4724,4724,japan,38
4725,4725,hong,11
4726,4726,kong,11
4727,4727,pakistan,7
4728,4728,rome,70
4729,4729,london,89
4730,4730,youngest,13
4731,4731,molly,5
4732,4732,debutante,5
4733,4733,gown,16
4734,4734,fitted,20
4735,4735,invitations,14
4736,4736,addressed,19
4737,4737,arts,66
4738,4738,folk,34
4739,4739,festival,27
4740,4740,singers,13
4741,4741,chicago's,10
4742,4742,sing,34
4743,4743,songs,59
4744,4744,byron,16
4745,4745,italian,47
4746,4746,studying,40
4747,4747,florence,5
4748,4748,europe,118
4749,4749,telling,52
4750,4750,engagement,22
4751,4751,girl,220
4752,4752,farewell,14
4753,4753,canceled,6
4754,4754,surgery,6
4755,4755,actress,6
4756,4756,costumes,18
4757,4757,towne,9
4758,4758,trees,101
4759,4759,streets,60
4760,4760,wheeled,10
4761,4761,trains,16
4762,4762,en,7
4763,4763,phoenix,9
4764,4764,ariz.,5
4765,4765,portable,13
4766,4766,typewriter,10
4767,4767,hinted,7
4768,4768,ain't,46
4769,4769,sunny,13
4770,4770,tommy,18
4771,4771,promotional,6
4772,4772,she's,48
4773,4773,fallout,31
4774,4774,shelters,25
4775,4775,beer,35
4776,4776,stein,18
4777,4777,nights,33
4778,4778,ethics,19
4779,4779,morals,7
4780,4780,comic,9
4781,4781,gary,5
4782,4782,lucille,13
4783,4783,scoop,5
4784,4784,jane,35
4785,4785,russell,12
4786,4786,singing,47
4787,4787,appearances,14
4788,4788,russell's,7
4789,4789,cry,48
4790,4790,pain,88
4791,4791,injection,7
4792,4792,nerve,12
4793,4793,studio,31
4794,4794,makes,172
4795,4795,column,71
4796,4796,handsome,40
4797,4797,favorite,41
4798,4798,hollywood's,4
4799,4799,glamor,4
4800,4800,simon,4
4801,4801,stricken,6
4802,4802,phones,7
4803,4803,memphis,8
4804,4804,entertain,14
4805,4805,mail,47
4806,4806,box,70
4807,4807,dough,13
4808,4808,garson,9
4809,4809,she'll,10
4810,4810,gorgeous,7
4811,4811,doris,5
4812,4812,marty,14
4813,4813,tour,43
4814,4814,carnegie,8
4815,4815,toast,19
4816,4816,movie,29
4817,4817,it'll,18
4818,4818,lover,19
4819,4819,flower,23
4820,4820,drum,11
4821,4821,lovely,44
4822,4822,touches,14
4823,4823,fur,13
4824,4824,typical,65
4825,4825,mink,5
4826,4826,mason,24
4827,4827,goodness,16
4828,4828,sake,41
4829,4829,herbert,12
4830,4830,slogan,7
4831,4831,knight,18
4832,4832,generously,8
4833,4833,buy,70
4834,4834,candy,16
4835,4835,brain,45
4836,4836,charities,4
4837,4837,boss,20
4838,4838,holders,5
4839,4839,stock,147
4840,4840,jump,24
4841,4841,nobody's,4
4842,4842,mentioned,79
4843,4843,wear,35
4844,4844,uniform,51
4845,4845,bayonet,6
4846,4846,berlin's,4
4847,4847,gate,37
4848,4848,sentry,6
4849,4849,dept.,5
4850,4850,confident,16
4851,4851,earth's,17
4852,4852,via,48
4853,4853,bombs,35
4854,4854,peasants,12
4855,4855,albert,29
4856,4856,awarded,17
4857,4857,nobel,7
4858,4858,african,28
4859,4859,collect,16
4860,4860,tarzan,4
4861,4861,telephoned,16
4862,4862,muttered,17
4863,4863,everywhere,47
4864,4864,frightening,14
4865,4865,roles,34
4866,4866,dolce,5
4867,4867,vita,5
4868,4868,dynamite,5
4869,4869,opens,16
4870,4870,rest,163
4871,4871,swim,15
4872,4872,doings,6
4873,4873,tribune,13
4874,4874,tells,34
4875,4875,misses,5
4876,4876,jean,23
4877,4877,angel,18
4878,4878,import,17
4879,4879,crazy,34
4880,4880,twist,18
4881,4881,they'll,32
4882,4882,lessons,17
4883,4883,cheer,8
4884,4884,francis,21
4885,4885,suggestions,23
4886,4886,deposit,9
4887,4887,boxes,14
4888,4888,dies,12
4889,4889,closed,106
4890,4890,gods,14
4891,4891,gala,7
4892,4892,music,216
4893,4893,dancing,43
4894,4894,furnished,23
4895,4895,orchestra,60
4896,4896,guests,62
4897,4897,suites,4
4898,4898,genial,5
4899,4899,birthday,18
4900,4900,chase,18
4901,4901,mercy,20
4902,4902,santa,28
4903,4903,calif.,19
4904,4904,shoup,4
4905,4905,colorado,13
4906,4906,palace,38
4907,4907,black,203
4908,4908,officers',6
4909,4909,stag,8
4910,4910,dining,28
4911,4911,parker,63
4912,4912,eastern,32
4913,4913,juniors,31
4914,4914,staged,16
4915,4915,preceded,15
4916,4916,decorations,8
4917,4917,stanley,35
4918,4918,wright,46
4919,4919,milton,17
4920,4920,bradford,5
4921,4921,butler,4
4922,4922,campbell,4
4923,4923,carruthers,5
4924,4924,glass,99
4925,4925,alfred,52
4926,4926,d.c.,25
4927,4927,smile,58
4928,4928,practical,68
4929,4929,down-to-earth,5
4930,4930,qualities,45
4931,4931,esther,9
4932,4932,marr,6
4933,4933,asset,5
4934,4934,salvation,32
4935,4935,civilian,24
4936,4936,covers,32
4937,4937,tasks,29
4938,4938,80,18
4939,4939,link,16
4940,4940,bridge,98
4941,4941,alcoholics,4
4942,4942,pressing,25
4943,4943,written,154
4944,4944,plenty,55
4945,4945,schedules,10
4946,4946,solved,19
4947,4947,welcome,50
4948,4948,mat,5
4949,4949,decides,12
4950,4950,wants,72
4951,4951,steaming,5
4952,4952,coffee,78
4953,4953,awaiting,7
4954,4954,chat,5
4955,4955,informally,5
4956,4956,presents,33
4957,4957,withdrawn,4
4958,4958,bum,7
4959,4959,tickets,14
4960,4960,sporting,9
4961,4961,concerts,26
4962,4962,cookies,6
4963,4963,sugar,34
4964,4964,watching,76
4965,4965,parole,5
4966,4966,vacation,47
4967,4967,forth,71
4968,4968,vast,61
4969,4969,bleak,10
4970,4970,abroad,51
4971,4971,suitcases,5
4972,4972,magic,37
4973,4973,ah,22
4974,4974,simple,160
4975,4975,reared,10
4976,4976,grandma,13
4977,4977,summertime,4
4978,4978,onslaught,4
4979,4979,journey,28
4980,4980,influx,4
4981,4981,testify,8
4982,4982,motels,7
4983,4983,comfort,43
4984,4984,stations,85
4985,4985,scots,8
4986,4986,wagons,17
4987,4987,roadside,4
